ID, X, Y
000,239273.6606,249182.9141
001,244524.0308,242625.4035
002,74181.2637,244846.6210
003,240835.3638,48945.2391
004,174644.1093,68981.0547
005,154387.7345,33047.1735
006,192284.1574,40340.7243
007,165367.6176,113124.5317
008,53534.5953,189649.5307
009,112075.8517,112974.3874
010,177525.8919,74949.9324
011,45177.1357,152384.0454
012,85969.1970,217213.2606
013,74412.7214,223473.2715
014,121909.4862,209702.4081
015,143523.3370,167455.4606
016,50734.7677,187534.0907
017,202302.3310,164684.1634
018,133202.3290,210189.8348
019,241910.2113,91497.8174
