ID, X, Y
000,451872.9206,104277.9132
001,171356.7927,72719.5265
002,226289.3938,306899.5617
003,286986.6456,267037.1874
004,178472.3391,212663.7115
005,148545.3425,192844.6870
006,464696.9617,212367.6212
007,268999.6467,427576.6217
008,271805.9259,476635.5753
009,169089.9285,376497.1867
010,370521.1911,145369.3896
011,497179.3553,303775.8578
012,283300.4153,260179.4715
013,482270.7320,166696.3129
014,205498.5131,303589.8159
015,344749.4975,441801.1896
016,265848.9492,175769.5522
017,227669.8856,314190.4653
018,223047.1348,391860.3810
019,276960.9848,378651.2717
020,330049.0868,136832.4488
021,121572.8427,353077.2961
022,200674.6544,341200.2958
023,496158.0256,231145.5760
024,458060.8033,473887.1866
025,454144.7297,272689.4547
026,112671.0906,461752.8092
027,362627.2678,288025.0991
028,340474.3729,296787.0341
029,492370.7097,424066.1390
030,495076.1682,370962.5108
031,248573.1056,172187.0133
032,172657.8018,96765.0378
033,231813.0297,320506.2190
034,263369.7452,322370.5332
035,180151.1367,479726.6245
036,103404.7594,277939.8004
037,85844.4460,366992.6178
038,234789.7908,123164.1065
039,307062.2706,111234.4128
