ID, X, Y
000,682667.7796,560527.7409
001,733422.4621,750349.4544
002,678459.2964,642084.4191
003,430145.4209,643981.6152
004,467746.5161,666540.9103
005,555765.3663,633981.1548
006,473420.4810,730421.5504
007,440393.8255,651056.0819
008,523857.0159,420541.3469
009,223094.4382,581914.1748
010,524856.9457,153820.1614
011,302816.6616,716445.4893
012,261847.8096,202427.8449
013,550610.4785,338458.8455
014,517774.8564,352672.6621
015,129208.4615,591923.4623
016,399441.1761,91577.3948
017,349647.2305,157048.5376
018,601321.9567,213959.1855
019,465616.8515,85285.9104
020,121507.3756,277158.0467
021,159860.3205,336911.1697
022,177530.7741,512386.8339
023,693763.9851,744302.4473
024,726029.1487,519389.4192
025,193978.2478,723443.1202
026,414182.6149,411554.1467
027,470835.2151,379267.7528
028,328045.0228,742695.3881
029,264639.6003,630319.2153
030,751999.0096,677514.5667
031,671101.8787,619201.8682
032,754252.0846,287724.6899
033,165967.2551,222501.5836
034,130259.1896,304798.2290
035,289515.4979,643606.4255
036,322904.9274,278145.4499
037,488813.3548,250989.4112
038,175000.8483,496375.7620
039,504700.5097,228455.7716
040,267000.5918,499498.9476
041,406264.8569,702394.8833
042,542050.9617,511817.5649
043,635795.7268,673032.0835
044,95454.9022,301817.5635
045,360443.4636,428589.9879
046,244614.7738,525851.2605
047,442809.4519,452327.3692
048,174037.8096,225330.0596
049,371116.9136,408756.7527
050,366139.5355,633989.8517
051,640861.0326,716936.0809
052,645911.1014,173661.9741
053,204177.3429,345849.8453
054,107690.7616,742585.1490
055,485139.3151,263118.7167
056,169853.6441,180916.9627
057,133008.0082,702889.4612
058,230295.7189,260537.6933
059,581450.9186,596296.7091
