ID, X, Y
000,174634.4346,120454.4740
001,349577.4263,57202.2363
002,247081.3390,121983.6964
003,190946.9709,138797.2802
004,363324.0064,166586.0674
005,391520.2576,292898.9731
006,482750.8065,482699.4592
007,170060.2651,231487.9952
008,400379.1418,478553.9027
009,177622.9883,162559.7244
010,484689.6340,112752.2930
011,447613.9873,379036.1324
012,148884.1744,75867.1768
013,483601.5435,436224.9564
014,368153.2097,258944.2209
015,239259.2647,104460.0597
016,196308.0380,56745.4597
017,287601.3759,301210.2318
018,206244.7092,458214.4388
019,305061.8947,297667.6601
020,344562.1244,103600.5535
021,325150.4638,62261.7745
022,181128.0537,424795.2510
023,448083.5543,224701.9677
024,392363.6426,253605.7820
025,418441.7066,275510.7113
026,476268.4789,498536.4513
027,249193.4336,97210.7940
028,488278.2002,168517.7600
029,141493.7335,170665.5486
030,399572.3960,177225.4662
031,136153.0729,88724.2940
032,462865.4904,80410.7141
033,251976.4099,445626.3742
034,228541.7930,464129.7674
035,320170.1861,277014.3904
036,75567.4445,297398.1509
037,275781.2413,421890.1988
038,215638.5286,433253.5285
039,254608.3608,239970.2745
