ID, X, Y
000,156762.7772,260394.2993
001,260246.1119,281957.7217
002,246561.1116,258184.1125
003,172548.2739,364964.2363
004,276052.8753,256864.5962
005,64754.2094,341273.6578
006,350405.4571,169305.6931
007,165340.4770,333400.7779
008,265051.0065,360635.3573
009,136258.2605,359196.0920
010,94085.6386,179227.4463
011,147247.9125,325195.9883
012,345752.7691,371424.8005
013,96824.1319,217110.8498
014,319814.2793,214493.8129
015,345686.0380,201103.2946
016,111418.1312,257390.1265
017,155848.7194,185504.4980
018,46664.5172,206020.7066
019,295430.3087,270472.4346
020,154776.7221,137214.0148
021,339613.9029,361347.3853
022,265634.6996,362656.0313
023,362931.5617,115169.3981
024,228821.7575,302744.3987
025,123755.1149,332948.4679
026,225891.2021,242198.0845
027,358880.8280,365101.0531
028,236799.5642,274490.0693
029,74044.0939,68209.3768
