ID, X, Y
000,592571.3612,213024.4952
001,564614.1229,105859.7179
002,276766.4635,224097.2881
003,571974.6918,271957.7144
004,338783.9320,119521.7623
005,348766.8046,625227.4055
006,296966.4614,557625.6773
007,664662.5790,124125.6421
008,165958.4456,592907.5393
009,268767.2686,217259.2437
010,225789.6196,211611.9523
011,514472.5300,565654.5877
012,231751.0971,262446.0561
013,736816.4465,634634.5988
014,532961.9196,325627.4669
015,442397.9686,591097.1688
016,246699.5643,270832.5020
017,533946.5441,328704.3656
018,742149.1405,192692.6093
019,157004.4127,406290.1041
020,513575.9652,239957.2049
021,547292.4385,219960.4695
022,240652.2831,292083.4376
023,423880.0976,374322.4744
024,150343.0059,414852.3118
025,186852.0398,373124.5877
026,679294.0592,217117.5775
027,592467.2894,708626.5890
028,321555.1696,656997.2724
029,751876.0361,680947.7932
030,640035.0720,709220.4200
031,669109.7698,397402.4075
032,169896.0971,397705.5991
033,423120.7532,540973.7154
034,565241.9226,99403.1209
035,461652.1282,317585.3517
036,731905.5122,471836.1635
037,630658.8062,435378.3223
038,147744.0453,430446.7628
039,241849.3302,705599.7986
040,197280.4177,706118.7810
041,262734.4708,133540.8701
042,276584.9278,259949.2775
043,581331.5708,394450.0311
044,361079.5664,571538.3299
045,374120.5388,532727.7611
046,286378.0131,332975.9231
047,373231.2288,305434.6193
048,374607.2112,208648.9623
049,626817.1216,197863.0618
050,522863.1294,574892.2977
051,639993.0545,517948.0618
052,290672.0692,497061.8067
053,724915.7040,340674.7518
054,215670.9812,502520.8924
055,273421.5586,742715.9151
056,346931.1370,739649.4316
057,279914.2332,623355.3754
058,117862.7252,607861.0482
059,149380.7804,248879.0332
