ID, X, Y
000,248986.0190,338514.3057
001,233649.1651,225059.1103
002,222414.7060,361041.7406
003,143975.1964,276451.9642
004,176927.3927,317668.1277
005,313701.8264,210992.6137
006,66539.3935,343378.3810
007,322163.2090,327823.2346
008,104164.6530,292997.9851
009,333893.2034,179904.7940
010,205129.8250,323440.9141
011,361891.8874,107729.5491
012,58763.2629,156060.2068
013,217142.9621,343292.2011
014,46450.2170,342403.8344
015,189672.2528,43700.9648
016,250948.9177,112215.7101
017,295340.7609,180626.0157
018,307163.5901,351959.2709
019,303178.9973,315965.3160
020,170984.0871,358863.7340
021,67217.5435,60823.7360
022,273768.0910,248678.9863
023,270861.8308,241710.8931
024,62417.1472,291681.5319
025,138923.0036,188356.4015
026,270215.4950,351113.6151
027,139133.0630,190231.4547
028,349951.0184,167366.3846
029,238627.1320,310637.5494
