ID, X, Y
000,204657.4713,444284.9457
001,368539.4359,513461.7491
002,125616.6924,804021.0550
003,757074.5564,375239.8202
004,999381.6442,889188.3013
005,593061.3977,233360.1637
006,640037.1199,932911.1201
007,741192.3690,421354.1393
008,394044.4855,502812.9179
009,187303.4249,929637.3581
010,711402.4897,834553.4975
011,174829.2648,546010.1667
012,310401.1355,950869.5907
013,394736.3493,606664.7100
014,681674.9919,672156.4178
015,299049.4391,271175.3504
016,679953.7552,969748.4855
017,967842.6499,529778.1546
018,604550.4784,804959.6660
019,928493.4425,898887.9945
020,761286.7714,441156.8465
021,831867.0634,750954.5619
022,977326.6855,870874.8621
023,956795.8295,768287.3037
024,400110.5819,998257.0817
025,272968.1329,589674.7616
026,803723.4302,824990.9120
027,923563.7008,776990.8768
028,724355.7483,396911.9567
029,945037.9638,632403.9459
030,459884.5593,795757.8089
031,912803.2809,323579.2086
032,340259.6833,390959.0389
033,199541.7830,751846.5019
034,782724.6086,340621.6836
035,731953.5901,734080.7207
036,557368.3595,114683.2279
037,246186.9169,713701.1698
038,794048.8653,210145.5483
039,574988.4924,844576.3390
040,432392.8093,773630.8177
041,649611.8656,535717.7895
042,992498.9849,666414.9172
043,854073.7532,542613.5150
044,870184.1766,155806.4933
045,583562.6757,117186.3704
046,657588.0281,349466.2477
047,617081.1089,312283.8842
048,388320.0975,986577.8558
049,1004252.8202,454873.6283
050,831782.3448,878707.7910
051,820298.4770,536207.2959
052,528448.1546,890694.7317
053,528202.6817,680342.7761
054,578424.7234,828827.0323
055,984171.3776,128532.2761
056,456813.6604,440693.4187
057,638312.5150,657267.2868
058,376151.8252,134182.3455
059,907040.5672,467776.9029
060,515777.2056,758680.0199
061,916497.8114,712715.8582
062,891433.2322,494699.5521
063,273664.0868,665683.2950
064,413093.8107,464884.1017
065,182792.8960,997571.4823
066,385721.0243,409565.1094
067,852107.5087,436083.2398
068,211940.1510,999606.0627
069,274369.1123,434230.1855
070,298145.4812,629237.6390
071,734339.6735,197775.2302
072,952175.7099,518775.2510
073,665641.3806,334473.4920
074,817229.0657,432271.0280
075,740779.4320,731673.4598
076,506229.8478,772933.6273
077,315538.0533,893802.1543
078,459556.9343,888073.8277
079,281838.0701,778993.9547
