ID, X, Y
000,219799.6386,117351.7975
001,283283.7630,179611.5208
002,421749.3162,347964.3223
003,82066.3446,231987.4084
004,114722.7922,94797.2334
005,243742.4578,378530.5135
006,305811.1494,284721.8760
007,254574.5618,138710.6459
008,482704.5971,383618.5531
009,82373.3975,253143.4794
010,241221.3152,494733.0542
011,481685.5230,240601.7114
012,195824.6135,207294.9282
013,395695.8933,303642.1948
014,184426.5995,68253.3820
015,328562.0903,171277.8753
016,410621.3972,295022.0410
017,125668.7457,415834.3870
018,261903.1327,253530.5970
019,405795.2824,239520.4513
020,436947.6085,448201.3209
021,354640.5488,340779.0463
022,136293.4794,314087.9885
023,337760.7409,222651.6594
024,492168.8588,427641.9666
025,244293.4078,425565.1805
026,172654.6938,418994.7312
027,82703.7330,398763.3063
028,333433.0700,253842.6081
029,191175.9242,451519.8196
030,461753.1121,166550.8065
031,328057.7339,400083.3979
032,405907.9672,384566.7017
033,469847.5734,134989.3633
034,348161.2248,148671.5245
035,363730.7680,207145.1904
036,162844.9850,219892.6262
037,348594.0942,426798.4406
038,224747.3562,91906.3039
039,169539.2150,211652.0774
