ID, X, Y
000,229519.2956,135170.2126
001,282819.8732,379807.1105
002,342005.0612,113929.0171
003,96426.9228,455090.1686
004,390887.8442,320978.1087
005,275249.8698,57702.1141
006,195748.4744,120638.2033
007,201535.7930,499982.1840
008,493398.3409,469506.1476
009,242374.6954,316061.0949
010,404620.8271,459545.0435
011,132032.6868,252540.6479
012,377495.7944,89576.4447
013,325691.7190,117728.1421
014,174250.1753,414500.1589
015,292142.7553,487394.1553
016,58666.7224,471611.7760
017,254025.3170,344790.1046
018,375597.3522,306126.6811
019,226571.5373,96953.1176
020,124383.1242,247262.9277
021,92649.8205,200210.3546
022,350642.0454,59205.2838
023,277127.6556,139718.9541
024,286180.1503,365862.9190
025,197364.7565,296771.7513
026,193941.4230,248836.1748
027,358886.2070,418731.6148
028,295461.2161,345146.2435
029,212216.0740,222876.4367
030,212300.1045,488339.0115
031,355879.9780,233026.0550
032,310284.0582,383522.4529
033,371688.8946,205038.6982
034,224061.8898,79691.8639
035,313489.8682,277838.1462
036,206040.3320,461285.1772
037,215939.5016,381496.3870
038,324634.7216,206087.4556
039,161939.5108,236734.1385
