ID, X, Y
000,322216.5176,87436.7537
001,409297.1139,75004.4946
002,377219.6954,331988.6702
003,250621.7811,243712.0208
004,455934.0943,467800.1647
005,360732.8416,219172.7876
006,201133.9384,364097.4993
007,286782.5545,343294.2069
008,451570.5737,83857.9814
009,278519.1853,450865.1998
010,226113.6575,75967.3128
011,486570.2280,150497.2087
012,460553.7281,322157.7415
013,277526.5372,74076.3144
014,438389.5354,274462.4994
015,354006.4577,467250.5280
016,480229.5807,88349.5716
017,257388.8846,502416.1236
018,179863.2867,290116.1557
019,259036.7301,96622.1839
020,69067.2826,120886.9091
021,471851.6357,309877.5225
022,493222.2009,359115.7065
023,201503.0424,180120.7672
024,80295.8471,151201.9352
025,148927.9050,108759.1249
026,100492.3957,374097.0899
027,375983.7831,200092.3296
028,439857.9447,272530.9884
029,80802.8326,141396.7028
030,353331.6795,446154.6743
031,425197.2745,110456.7869
032,283448.9277,452073.1913
033,462303.9450,432535.6883
034,387166.6724,180930.1523
035,178532.4118,447583.9016
036,417299.1746,164933.7460
037,77586.6546,139123.2576
038,142262.2493,472641.6949
039,217401.2226,366409.7267
