ID, X, Y
000,32950.9863,197498.4664
001,31438.1365,167765.9884
002,54808.6411,57968.3785
003,29195.8468,112941.8724
004,126563.1562,173330.7036
005,142768.8511,100561.2659
006,194291.6925,58734.6945
007,233880.9878,59245.5310
008,184565.2409,114888.0696
009,46267.1204,235175.6386
010,110340.8224,152592.1495
011,137755.7173,229269.7146
012,75318.2571,153112.1364
013,131393.0144,94625.2891
014,109161.6211,149010.0339
015,172684.5852,138719.7473
016,232289.3645,202005.7129
017,116417.7326,160565.1702
018,157178.7677,243481.6596
019,176233.2953,216226.2508
