ID, APP, DR, X, Y
000,02,05,10280.9529,5265.6576
001,01,05,7211.3442,8777.8241
002,02,05,10107.4784,12465.2824
003,02,05,1184.8383,4902.3792
004,02,05,9474.9696,0853.1634
005,00,05,4143.4399,5868.0691
006,00,05,1926.1944,9610.0850
007,02,05,3878.1090,9807.7632
008,02,05,13241.5576,9161.3075
009,00,05,1014.4028,4350.2831
010,02,05,9834.7397,5557.0871
011,00,05,8164.6405,5713.1808
012,02,05,2448.4266,7099.9140
013,02,05,11579.5779,9427.6540
014,00,05,6763.6186,5799.7403
015,02,05,10969.0214,6557.7615
016,01,05,10525.9185,10199.2283
017,02,05,5918.8221,9855.9167
018,00,05,4447.7925,4716.7913
019,02,05,8977.5443,10709.9919
020,01,05,8313.6326,1194.7029
021,00,05,5884.6723,10230.9696
022,01,05,1953.2859,11917.9279
023,00,05,10119.3999,12325.8004
024,01,05,0745.0961,4344.3193
025,00,05,1539.0111,11880.0610
026,00,05,7389.3273,8622.5374
027,02,05,8623.4128,4410.5736
028,00,05,7276.6374,4077.7102
029,02,05,5657.2264,6631.2199
030,02,05,5480.2878,13755.5404
031,00,05,4933.3502,11984.7645
032,00,05,4932.9706,12748.2760
033,01,05,1202.7622,3581.9181
034,02,05,4868.9877,12160.5880
035,02,05,2004.7482,11543.3233
036,01,05,11110.7996,4903.8649
037,02,05,10996.9486,7832.3381
038,01,05,7284.3431,7041.9406
039,02,05,6871.1969,10696.0981
040,00,05,12168.0056,6380.8918
041,02,05,5394.1800,4162.7350
042,01,05,8457.4482,4420.9622
043,00,05,9585.3118,8956.4865
044,00,05,12732.0968,9690.2578
045,00,05,8066.1005,3521.5536
046,01,05,2863.0286,7456.0798
047,01,05,6014.3315,7071.7944
048,00,05,4619.6207,5189.3411
049,00,05,7526.3596,3603.4050
050,00,04,2998.5564,8887.7525
051,02,04,3822.2751,7968.7172
052,00,04,1916.0756,12655.5406
053,02,04,8015.8129,0491.2823
054,00,04,11522.0652,8690.0515
055,00,04,4000.8821,3934.9742
056,02,04,11426.3608,6360.7477
057,01,04,11685.5179,1177.4084
058,01,04,6009.0603,1060.4875
059,01,04,8991.3729,7026.2272
060,00,04,2364.3308,7245.7243
061,02,04,8777.8472,3156.9242
062,00,04,4184.2251,9634.2563
063,00,04,13055.1965,11250.5589
064,01,04,12971.7688,10906.1160
065,02,04,8269.8083,0636.8476
066,00,04,13048.5410,11333.0557
067,00,04,0217.8365,7588.6318
068,02,04,11228.0489,10501.1309
069,00,04,8854.8510,13969.9445
070,00,04,9955.1674,10115.3582
071,02,04,13659.5669,6963.2528
072,00,04,12232.4533,4209.9151
073,00,04,1960.5134,12252.1505
074,01,04,6345.9196,0291.7359
075,01,04,3479.4759,13143.1556
076,02,04,11383.4097,3372.6790
077,02,04,8140.6204,8922.9278
078,02,04,2076.9724,11818.2152
079,01,04,12322.6766,9077.3290
080,00,04,2183.2512,9036.3915
081,02,04,8714.0406,9148.5516
082,02,04,6727.9077,1324.5156
083,00,04,8730.2959,2402.1951
084,01,04,9948.8516,5310.7847
085,00,04,1890.0279,10004.6391
086,01,04,7799.5978,1135.3260
087,02,04,0033.5676,11227.8289
088,00,04,0656.3955,3196.8676
089,01,04,7722.3492,6556.8543
090,02,04,3616.8032,4137.0437
