ID, X, Y
000,331144.8672,558417.0369
001,529950.3247,139978.7185
002,630275.1843,744058.7976
003,583456.9365,133700.3569
004,439743.9984,307666.1270
005,593673.8929,336191.8563
006,836521.4904,299981.9284
007,285468.4332,183102.7148
008,345342.4830,269768.2684
009,376090.2109,837794.1193
010,823754.7150,502658.2655
011,304811.2660,609871.2598
012,841302.6059,684776.2355
013,166847.2867,130968.6756
014,297025.8393,746315.0578
015,730258.6532,849113.5496
016,873845.1029,133944.7383
017,379219.7675,492955.4670
018,674527.1451,639446.3578
019,328934.0230,817958.8999
020,720670.2450,801771.7272
021,283884.0748,243326.0912
022,858018.6044,216733.4647
023,477242.5101,115065.2046
024,710736.0382,519233.0819
025,850257.0879,452024.0340
026,533656.0817,187213.6376
027,810339.0047,370397.0162
028,597014.9702,844333.7583
029,373427.0306,819179.4495
030,828058.3863,108669.9542
031,726205.2158,750695.8133
032,300028.7646,700544.9203
033,487747.6641,535683.2836
034,508207.4845,637744.4826
035,405817.2438,277789.3309
036,672991.4001,644635.2649
037,834189.4148,394207.5999
038,244229.7653,750400.2624
039,746349.9062,240057.8819
040,819712.2374,614733.5801
041,236426.0138,423518.6722
042,703566.6352,149809.2461
043,312166.3899,657324.1708
044,591291.9489,176725.2529
045,321912.1315,431252.6267
046,801558.6446,202519.0178
047,148142.5666,320012.7425
048,179596.3600,858669.3288
049,442481.7677,706351.5117
050,625798.4124,740134.9178
051,328322.3479,784107.6425
052,391130.6050,754606.2104
053,577700.4002,416873.5251
054,433234.1884,771578.8497
055,232309.9624,326127.1660
056,484521.9042,255656.5873
057,512478.7936,485068.8331
058,495120.9072,872515.2327
059,701962.0368,469386.4517
060,852548.5800,593382.1693
061,607054.5286,663815.6324
062,634317.9015,607300.7401
063,121053.9436,573506.3600
064,335908.7531,632547.8121
065,493785.9322,559053.2425
066,353080.4856,423979.5150
067,684367.3398,457123.9997
068,729958.8278,647018.6216
069,871626.1102,212975.3616
