ID, X, Y
000,202247.0484,186652.5745
001,113452.1825,77701.4334
002,80618.6389,117192.4478
003,238767.7414,173771.9044
004,110217.3743,251722.4768
005,188733.4427,207997.9014
006,205981.6092,65650.0053
007,246248.2551,239049.0338
008,173157.6429,206244.8856
009,221725.6418,84447.0806
010,92975.5526,60452.2497
011,134096.1423,126810.7860
012,158674.5513,243795.1458
013,38903.9396,68058.6919
014,36547.8542,34548.7562
015,116229.8786,204825.9869
016,202590.1302,214785.5882
017,228467.4329,223351.8297
018,99339.6562,85486.4035
019,84691.7452,213081.0421
