ID, APP, DR, X, Y
000,01,05,3200.9568,7297.6206
001,01,05,2641.4228,6013.3774
002,00,05,4793.2686,13770.4024
003,01,05,4655.1461,8243.4828
004,02,05,0704.7612,8404.4229
005,00,05,2098.5703,11770.7270
006,01,05,3854.3162,6070.3609
007,01,05,4563.1813,12824.6769
008,02,05,2631.8590,9175.8083
009,00,05,2256.3282,7157.6198
010,02,05,4768.9558,12943.4025
011,01,05,0301.2521,8317.8264
012,02,05,1946.3854,6297.2779
013,01,05,5380.1575,7177.6484
014,01,05,6081.8136,7332.5154
015,01,05,1830.4507,10473.0181
016,02,05,3580.2914,4970.7899
017,02,05,1960.6883,8191.2620
018,02,05,2876.8882,7548.6001
019,00,05,0962.0175,6005.7539
020,00,05,4594.4729,7077.9423
021,01,05,2465.1064,5628.5446
022,00,05,5506.5336,11990.6888
023,00,05,2665.4341,6132.3431
024,00,05,3839.0599,8499.3907
025,00,05,5627.1931,7403.4722
026,00,05,5569.3708,7410.9774
027,00,05,4509.5761,6896.0102
028,01,05,3154.6890,4684.9120
029,01,05,5688.3490,10380.7158
030,01,04,3231.5067,7660.4021
031,02,04,0846.2571,13184.1997
032,01,04,6051.2333,6802.7469
033,00,04,4399.4456,4925.6114
034,02,04,0443.2678,12859.8806
035,02,04,6304.8944,11273.6234
036,01,04,1072.5030,11644.6850
037,00,04,3458.6862,5591.8783
038,00,04,3155.4167,13508.1069
039,02,04,0015.7923,9120.6241
040,02,04,2812.7091,3896.0721
041,01,04,5595.3467,12927.4520
042,01,04,4151.1257,7905.7216
043,02,04,4936.8860,8418.3009
044,00,04,2914.0819,12968.3722
045,00,04,5205.1097,10659.6803
046,00,04,5907.2427,7429.4505
047,01,04,6459.5854,5622.4612
048,01,04,2734.5590,3624.6410
049,02,04,2731.1518,5127.4735
050,01,04,3653.4349,3632.0696
051,01,04,6042.8926,4585.8121
052,02,04,3086.9362,8770.7780
053,02,04,0607.7267,5503.1220
054,02,04,0506.4286,10274.6150
055,00,04,5423.5951,7818.9165
056,02,04,3832.6413,10771.2745
057,02,04,3380.4103,10026.8781
058,00,04,3705.1666,9651.6938
059,02,04,2755.6474,12344.5259
060,00,03,6528.4888,3178.1822
061,01,03,5986.6684,10622.1905
062,02,03,1738.1716,1878.8546
063,01,03,1805.8178,2136.2245
064,01,03,4898.6017,4913.9210
065,00,03,2583.8309,6507.3687
066,02,03,5340.9620,11890.7832
067,00,03,3239.9167,2187.1838
